,Unnamed: 0,user,date,text,location,coordinates
24,24,FRANCIS39781980,Mon Jul 22 22:23:53 +0000 2019,##  SHARE  @visitcatalonia   WITH  THE  @united   UNITED  AIRLINES   IN  LOS  ANGELES  CALIFORNIA  U.S.A  .  ## https://t.co/6Xmc6AsmuE,,
25,25,EWRairport,Mon Jul 22 22:14:57 +0000 2019,"@Oliver_Law We're sorry that this happened, Oliver. The airline is responsible for checked baggage issues. We have… https://t.co/FtOEhsXM4J","Newark, NJ",
26,26,AlanJKeefe,Mon Jul 22 22:14:18 +0000 2019,@ambeanie_moss My dad worked for United Airlines and I loved planes. Took me to the airport to when I was about 8 t… https://t.co/64cK7p50ar,Seattle metro area.,
27,27,KelMillionie,Mon Jul 22 22:02:06 +0000 2019,"I kinda want to be the woman in the @united airlines commerical ""Living Joyfully."" Not only is she fierce and fabul… https://t.co/j8PzPcYAvs","Baltimore, MD",
28,28,bpatafie,Mon Jul 22 22:01:13 +0000 2019,"I've been on 12 flights this summer all on @united Airlines. The service, on time schedule and the cleanliness of t… https://t.co/AL19wIhshI","Honolulu, 🇺🇸 BC, 🇨🇦",
29,29,AWFRadio,Mon Jul 22 22:00:18 +0000 2019,"John Samuelson, president of @transportworker spoke with AWF earlier today about American Airlines and their issues… https://t.co/IBX5QmPM79",,
30,30,claimcompanies,Mon Jul 22 21:52:53 +0000 2019,RT @KayTude: Well @united airlines officially have the worst customer service of any airline I’ve been on. Between cancelled flights and th…,,
31,31,FRANCIS39781980,Mon Jul 22 21:47:41 +0000 2019,##  SHARE  @spain   VISIT  SPAIN  WITH  THE  @AmericanAir   AMERICAN  AIRLINES  IN  LOS  ANGELES  CALIFORNIA  UNITE… https://t.co/sZWIXtk1ye,,
32,32,MontanaStandard,Mon Jul 22 21:46:08 +0000 2019,The board overseeing Butte’s airport is listening to the people and recommending that a federal agency keep awardin… https://t.co/J8Nif4zvr0,"Butte, Montana",
33,33,KayTude,Mon Jul 22 21:44:54 +0000 2019,Well @united airlines officially have the worst customer service of any airline I’ve been on. Between cancelled fli… https://t.co/FG4wgHfZta,,
34,34,Travel_Fairness,Mon Jul 22 21:42:21 +0000 2019,"Don't let @AmericanAir, @Delta &amp; @united close our skies to much-needed competition on international flights. Rathe… https://t.co/a9Lhmi4637","Chicago, IL",
35,35,DCJWJ,Mon Jul 22 21:36:37 +0000 2019,"American Airlines, Delta, and United made over $50 BILLION in combined profits in just the past 5 years alone. With… https://t.co/gk8F1HiAar","Washington, DC",
36,36,JimByersTravel,Mon Jul 22 21:36:23 +0000 2019,"Love the United Terminal 7 lounge at LAX. Enjoying some Japanese noodles, Mexican soup and a cold drink as I get re… https://t.co/ZeLaJpCmt7","ÜT: 43.724882,-79.471653",
37,37,oneblkbutterfly,Mon Jul 22 21:35:21 +0000 2019,@Nagzz21 @united You asking this airline for recommendations to better airlines is iconic.... lmfao,,
38,38,CyberConsulting,Mon Jul 22 21:32:30 +0000 2019,"RT @TrackerPayton: 🤔 American and United MUST change 31 planes' cockpit screens by November
 https://t.co/KVlJ13iPuM",Sacramento area,
39,39,TTDAFLCIO,Mon Jul 22 21:31:10 +0000 2019,"RT @WorkingAmerica: American Airlines, Delta, and United made over $50 billion in combined profits in the past five years, yet the people w…","Washington, DC",
40,40,_Ruthyyy_,Mon Jul 22 21:20:16 +0000 2019,@LittleLo804 United airlines is hiring for flight attendants right now,"Roanoke, VA",
41,41,CowboyClueless,Mon Jul 22 21:11:44 +0000 2019,"@AvoriLiz @united Always had issues with United, stopped flying them entirely. Delta is first choice and then AA. I… https://t.co/THMDuey7ZM",,
